s.lin.c.34.1.011-000	120.86	1.81
s.lin.t.47.1.000-011	120.92	1.81
s.lin.c.47.1.000-011	121.02	1.82
s.lin.c.44.1.011-000	121.06	1.83
z.lin.c.23.1.001-001	121.08	1.55
s.lin.t.44.1.011-000	121.10	1.82
s.lin.c.33.1.101-000	121.13	1.95
s.lin.c.37.1.011-000	121.14	1.86
s.lin.t.37.1.011-000	121.16	1.89
s.lin.t.33.1.101-000	121.18	1.86
s.lin.c.23.1.000-101	121.26	1.81
s.lin.t.34.1.011-000	121.30	1.80
s.lin.t.77.1.011-000	121.38	1.86
s.lin.t.47.1.011-000	121.41	1.81
s.lin.c.27.1.000-101	121.84	1.81
s.cyc.12.43.0.x00-000	123.82	3.95
s.lin.c.27.1.101-000	121.96	2.05
d.lin.c.22.1.100-001	122.26	2.03
d.lin.t.33.1.100-100	122.49	2.55
s.lin.c.24.1.101-000	122.74	2.06
d.lin.c.33.1.100-100	122.85	2.69
d.lin.t.22.1.100-001	123.38	2.01
s.lin.t.27.1.000-101	124.08	1.79
s.cyc.12.34.0.x00-000	126.05	3.74
s.lin.c.23.1.110-000	124.12	1.77
s.lin.t.24.1.101-000	124.70	2.09
s.lin.t.22.1.110-000	124.98	1.77
d.lin.t.37.1.100-001	125.01	1.91
z.lin.t.23.1.001-010	125.08	1.59
s.lin.t.34.1.101-000	125.09	2.03
s.lin.t.24.1.000-101	125.12	1.88
d.lin.c.37.1.100-001	125.15	1.89
s.lin.c.34.1.101-000	125.16	2.00
s.lin.c.37.1.000-101	125.28	1.95
s.lin.t.37.1.000-101	125.51	1.97
s.lin.c.22.1.110-000	125.62	1.69
z.lin.t.24.1.001-001	125.73	1.31
s.lin.t.27.1.110-000	125.82	1.76
z.lin.t.22.1.010-001	126.17	1.50
s.lin.c.24.1.000-101	126.18	1.88
s.lin.c.34.1.000-101	126.22	1.92
s.lin.c.37.1.101-000	126.30	2.03
s.lin.t.23.1.110-000	126.42	1.61
d.lin.t.77.1.001-001	126.47	1.33
z.lin.c.22.1.010-001	126.48	1.49
s.lin.t.77.1.101-000	126.59	1.98
s.lin.t.37.1.101-000	126.62	2.05
d.lin.c.34.1.100-010	126.92	2.02
s.lin.t.34.1.000-101	126.92	1.94
d.lin.c.27.1.100-001	127.06	1.68
z.lin.c.24.1.001-001	127.08	1.29
z.lin.c.23.1.001-010	127.10	1.48
s.lin.c.47.1.101-000	127.22	2.19
d.lin.t.34.1.100-010	127.95	2.09
s.cyc.12.71.0.x00-x00	130.01	4.02
s.lin.t.44.1.101-000	128.42	2.11
s.cyc.17.17.0.x00-x00	130.47	3.49
s.lin.c.47.1.000-101	128.55	2.12
z.lin.t.27.1.001-010	128.59	1.32
s.lin.c.44.1.101-000	128.67	2.10
s.lin.t.47.1.000-101	128.83	2.11
d.lin.c.77.1.100-001	128.90	1.99
s.lin.t.47.1.101-000	128.95	2.14
s.lin.c.27.1.110-000	129.18	1.80
s.lin.c.23.1.000-110	129.46	1.60
d.lin.c.47.1.010-001	129.48	1.41
s.lin.t.24.1.000-110	129.66	1.70
z.lin.t.37.1.001-001	129.72	1.32
d.lin.c.44.1.010-010	129.77	1.47
d.lin.t.23.1.100-100	130.06	1.99
d.lin.t.47.1.010-001	130.07	1.51
s.lin.t.34.1.000-110	130.13	1.85
s.lin.t.33.1.110-000	130.14	1.61
s.lin.c.34.1.000-110	130.19	1.83
s.lin.c.24.1.000-110	130.27	1.77
d.lin.c.77.1.001-001	130.38	1.33
s.lin.t.23.1.000-110	130.45	1.64
s.lin.c.24.1.110-000	130.72	1.77
d.lin.c.23.1.100-100	131.01	1.97
z.lin.c.33.1.100-001	131.11	1.62
z.lin.t.24.1.010-010	131.36	1.22
s.lin.c.27.1.000-110	131.39	1.80
s.lin.c.33.1.110-000	131.56	1.70
s.lin.t.24.1.110-000	131.94	1.88
z.lin.c.37.1.001-001	131.99	1.20
z.lin.t.33.1.100-001	132.10	1.45
z.lin.t.27.1.010-001	132.11	1.20
z.lin.c.23.1.010-100	132.14	1.41
z.lin.t.34.1.001-010	132.17	1.44
z.lin.t.23.1.010-100	132.17	1.38
d.lin.c.27.1.001-100	132.19	1.96
s.lin.c.37.1.000-110	132.75	1.88
s.lin.t.37.1.000-110	133.02	1.92
s.lin.c.34.1.110-000	133.16	1.81
d.lin.c.24.1.100-010	133.34	1.77
s.lin.t.37.1.110-000	133.47	1.89
s.lin.t.77.1.110-000	133.50	1.99
z.lin.c.27.1.010-001	133.56	1.20
s.lin.c.37.1.110-000	133.58	1.84
s.lin.t.34.1.110-000	133.68	1.81
z.lin.c.34.1.001-010	133.75	1.32
s.lin.c.44.1.110-000	133.77	1.99
s.lin.t.44.1.110-000	133.99	1.97
s.lin.t.27.1.000-110	134.15	1.88
s.lin.c.47.1.110-000	134.24	1.84
d.lin.t.24.1.001-100	134.28	1.80
z.lin.c.24.1.010-010	134.39	1.28
s.lin.c.47.1.000-110	134.60	2.04
s.lin.t.47.1.000-110	134.72	2.02
d.lin.c.24.1.001-100	134.78	1.77
s.lin.t.47.1.110-000	134.89	1.94
s.lin.c.77.1.110-000	135.28	2.07
d.lin.t.27.1.100-001	135.44	1.69
z.lin.c.23.1.010-001	135.93	1.36
d.lin.t.44.1.010-010	135.99	1.50
z.lin.c.33.1.001-001	136.31	1.25
d.lin.t.27.1.001-100	136.36	1.95
z.lin.t.37.1.010-001	137.24	1.17
z.lin.t.23.1.100-001	137.27	1.40
d.lin.t.24.1.100-010	137.44	1.90
z.lin.t.23.1.010-001	138.11	1.14
z.lin.c.23.1.100-001	138.38	1.38
z.lin.t.24.1.010-001	138.70	1.32
z.lin.c.33.1.100-010	138.76	1.44
z.lin.t.33.1.100-010	138.76	1.34
z.lin.t.47.1.001-001	138.96	0.87
z.lin.t.33.1.001-001	139.36	0.92
z.lin.t.34.1.010-010	140.09	1.31
z.lin.c.47.1.001-001	140.10	0.78
z.lin.c.22.1.100-010	140.24	1.24
d.lin.t.22.1.100-100	140.48	1.73
z.lin.t.34.1.001-001	141.00	0.93
z.lin.t.27.1.010-010	141.02	1.35
z.lin.c.34.1.001-001	141.07	0.90
z.lin.t.22.1.100-010	141.09	1.26
z.lin.c.24.1.010-001	141.14	1.27
z.lin.c.34.1.010-010	141.39	1.22
d.lin.c.22.1.100-100	141.68	1.74
z.lin.c.27.1.001-010	142.27	1.00
z.lin.c.23.1.010-010	142.75	1.28
z.lin.t.77.1.010-001	142.82	0.94
z.lin.t.22.1.010-010	142.89	1.14
z.lin.c.47.1.010-010	143.38	0.74
z.lin.c.77.1.010-001	143.44	0.70
z.lin.c.44.1.010-001	143.66	0.88
z.lin.t.44.1.001-001	144.08	0.84
z.lin.c.22.1.010-010	144.30	1.22
z.lin.c.47.1.001-010	144.32	1.13
z.lin.c.44.1.001-001	144.38	0.84
z.lin.t.23.1.010-010	144.49	1.19
z.lin.c.33.1.010-001	144.68	1.06
z.lin.t.33.1.010-001	144.79	0.96
z.lin.t.37.1.001-010	145.09	1.04
z.lin.t.23.1.100-010	145.16	1.23
z.lin.t.47.1.001-010	145.74	1.02
s.lin.c.77.1.101-000	145.80	1.41
z.lin.c.34.1.010-001	145.85	1.03
z.lin.c.23.1.100-010	146.02	1.23
z.lin.t.77.1.010-010	146.36	0.92
z.lin.t.34.1.010-001	146.38	1.01
z.lin.c.27.1.010-100	146.65	1.33
d.lin.c.34.1.100-100	147.21	1.75
z.lin.c.77.1.010-010	147.30	1.16
d.lin.t.27.1.100-100	147.87	1.31
d.lin.t.34.1.100-100	147.91	1.74
z.lin.c.27.1.100-010	148.61	1.17
z.lin.c.24.1.100-001	148.98	0.93
z.lin.t.27.1.010-100	149.41	1.34
d.lin.c.47.1.100-001	149.89	1.28
z.lin.t.33.1.010-010	150.04	1.11
s.cyc.12.17.0.x00-x00	152.02	3.84
z.lin.t.24.1.010-100	150.16	1.28
d.lin.c.37.1.100-100	150.17	1.78
d.lin.t.37.1.100-100	150.45	1.81
d.lin.t.47.1.100-001	150.47	1.1746 
z.lin.c.34.1.100-001	151.13	0.87
z.lin.c.33.1.010-010	152.00	0.89
z.lin.c.24.1.010-100	152.17	1.20
z.lin.c.34.1.001-100	152.21	1.11
z.lin.c.37.1.010-010	152.23	1.00
z.lin.c.37.1.001-100	152.29	1.19
z.lin.t.34.1.100-001	152.32	0.85
z.lin.t.34.1.001-100	152.37	1.12
z.lin.t.24.1.100-001	152.42	0.96
z.lin.t.37.1.010-010	152.45	0.94
z.lin.c.37.1.100-010	152.54	0.90
d.lin.c.24.1.100-100	152.58	1.63
z.lin.c.27.1.010-010	152.80	1.06
d.lin.t.77.1.100-001	152.94	1.22
d.lin.c.44.1.100-010	153.42	1.41
z.lin.t.27.1.100-010	153.53	0.98
z.lin.t.37.1.001-100	153.85	1.21
d.lin.c.47.1.010-100	153.86	1.32
d.lin.t.44.1.100-010	154.91	1.22
z.lin.c.47.1.001-100	155.83	0.98
d.lin.t.47.1.010-100	156.41	1.31
z.lin.t.44.1.100-001	156.66	0.94
d.lin.t.24.1.100-100	156.73	1.58
z.lin.c.44.1.100-001	156.84	0.90
z.lin.c.47.1.100-010	157.19	1.11
z.lin.t.47.1.100-010	157.48	1.15
